⺮	ju<
搭蓋	dah cai
搭街坊	dah cie fag
搭補	dah bu
搭褳	dah lian
搭訕	dah xan
搭話	dah hua
搭調	dah diau
搭赸	dah xan
搭車	dah txe
搭載	dah zai
搭連	dah lian
搭配	dah pei
搭鉤	dah ceu
搭鐵	dah tieh
搯	tau/
搰	huh<
搰	txaih>
搲	ua/
搲	ua>
搲	ua\
搳	hua<
搳	hug/
搳拳	hua kyan
搴	kian/
搴旗	kian ki
搵	un>
搵	un\
搵錢	un tsian
搵食	un x
搶	tsiag/
搶	tsiag\
搶佔	tsiag jam
搶修	tsiag siu
搶先	tsiag sian
搶功	tsiag cug
搶劫	tsiag cieh
搶劫案	tsiag cieh an
搶劫罪	tsiag cieh zui
搶奪	tsiag dueh
搶婚	tsiag hun
搶手	tsiag xeu
搶手貨	tsiag xeu hue
搶掠	tsiag lye
搶救	tsiag ciu
搶灘	tsiag tan
搶生意	tsiag xg i
搶白	tsiag baih
搶眼	tsiag gian
搶票	tsiag piau
搶答	tsiag dah
搶答器	tsiag dah ki
搶親	tsiag tsin
搶註	tsiag ju
搶購	tsiag ceu
搶走	tsiag zeu
搶跑	tsiag pau
搶通	tsiag tug
搶鏡頭	tsiag cig teu
搶險	tsiag hiam
搶險救災	tsiag hiam ciu zai
搶風	tsiag fg
搶風航行	tsiag fg hag hig
搶風頭	tsiag fg teu
搷	tian<
搷	txn/
搹	eh>
搹	xn/
搽	hyan/
搽	txa<
搾	ja>
搾	ts\
搿	ce<
摀	pue>
摀	u\
摁	en>
摁扣兒	en keu r
摁釘兒	en dig r
摃	cag/
摃	kag<
摋	sah>
摋	zuh<
摍	sueh/
摍	syh>
摎	ciu/
摎	ian>
摏	txug/
摐	txuag/
摑	cuaih/
摑	tueh<
摒	big>
摒擋	big dag
摒棄	big ki
摒除	big txu
摓	fg<
摔	xuai/
摔交	xuai ciau
摔倒	xuai dau
摔傷	xuai xag
摔壞	xuai huai
摔打	xuai da
摔斷	xuai duan
摔死	xuai s
摔破	xuai pue
摔角	xuai ciauh
摔跌	xuai dieh
摔跟頭	xuai cn teu
摔跤	xuai ciau
摘	hian<
摘	jaih/
摘下	jaih hia
摘借	jaih zie
摘取	jaih tsy
摘帽	jaih mau
摘帽子	jaih mau z
摘引	jaih in
摘抄	jaih txau
摘桃子	jaih tau z
摘牌	jaih pai
摘由	jaih iu
摘要	jaih iau
摘記	jaih ci
摘譯	jaih ih
摘錄	jaih lu
摘除	jaih txu
摙	lian\
摛	huan\
摛	tx/
摜	ce<
摜	cuan>
摜奶油	cuan nai iu
摜蛋	cuan dan
摝	luh>
摝	txug\
摞	bi>
摞	lue>
摞管	lue cuan
摟	hug/
摟	leu/
摟	leu\
摟住	leu ju
摟抱	leu bau
摟錢	leu tsian
摠	hug/
摠	zug\
摡	cai>
摡	tx<
摦	hua>
摧	tsui/
摧殘	tsui tsan
摧毀	tsui hui
摩	ma/
摩	mue<
摩加迪休	mue cia dih hiu
摩加迪沙	mue cia dih xa
摩卡	mue ka
摩卡咖啡	mue ka ka fei
摩城	mue txg
摩天	mue tian
摩天大廈	mue tian da xa
摩天大樓	mue tian da leu
摩天樓	mue tian leu
摩天輪	mue tian lun
摩娑	mue sue
摩尼	mue ni
摩尼教	mue ni ciau
摩德納	mue deh nah
摩托	mue tue
摩托羅拉	mue tue lue lah
摩托艇	mue tue tig
摩托車	mue tue txe
摩托車的士	mue tue txe dih x
摩拳擦掌	mue kyan tsa jag
摩挲	ma sa
摩挲	mue sue
摩揭陀	mue cie tue
摩擦	mue tsa
摩擦力	mue tsa lih
摩擦音	mue tsa im
摩斯密碼	mue s mih ma
摩斯拉	mue s lah
摩斯電碼	mue s dian ma
摩旅	mue ly
摩根	mue cn
摩根士丹利	mue cn x dan li
摩梭	mue sue
摩梭族	mue sue zuh
摩洛哥	mue lueh ce
摩爾	mue er
摩爾人	mue er rn
摩爾多瓦	mue er due gua
摩爾多瓦人	mue er due gua rn
摩爾定律	mue er dig lyh
摩爾斯電碼	mue er s dian ma
摩爾根	mue er cn
摩爾門	mue er mn
摩爾門經	mue er mn cig
摩登	mue dg
摩登原始人	mue dg gyan x rn
摩的	mue dih
摩睺羅伽	mue heu lue cia
摩納哥	mue nah ce
摩絲	mue s
摩羯	mue cieh
摩羯座	mue cieh zue
摩肩接踵	mue cian zieh jug
摩薩德	mue sah deh
摩蘇爾	mue su er
摩蟹座	mue hie zue
摩西	mue si
摩西五經	mue si gu cig
摩西律法	mue si lyh fah
摩西的律法	mue si deh lyh fah
摩訶	mue he
摩訶婆羅多	mue he pue lue due
摩鐵	mue tieh
摩門	mue mn
摩門經	mue mn cig
摩頂放踵	mue dig fag jug
摩鹿加群島	mue luh cia kyn dau
摭	jh<
摮	gau<
摯	j>
摯	ja\
摯切	j tsie
摯友	j iu
摯友良朋	j iu liag pg
摯情	j tsig
摯愛	j ai
摯誠	j txg
摰	nie>
摲	ta>
摲	txam>
摲	xam>
摳	keu/
摳圖	keu tu
摳字眼	keu z gian
摳字眼兒	keu z gian r
摳腳	keu ciauh
摳門	keu mn
摳門兒	keu mn r
摴	txu/
摴	xu/
摵	pueh>
摵	xeh>
摶	ta>
摶	tuan<
摶沙	tuan xa
摶風	tuan fg
摶飯	tuan fan
摷	ciau\
摸	iu<
摸	mue/
摸	mue<
摸不著	mue bu jau
摸不著邊	mue bu jau bian
摸不著頭腦	mue bu jau teu nau
摸八圈	mue bah kyan
摸吧	mue ba
摸底	mue di
摸彩	mue tsai
摸得著	mue deh jau
摸排	mue pai
摸清	mue tsig
摸爬滾打	mue pa cun da
摸牌	mue pai
摸石頭過河	mue xh teu cue he
摸索	mue sueh
摸脈	mue maih
摸著石頭過河	mue je xh teu cue he
摸象	mue siag
摸魚	mue gy
摸黑	mue heih
摹	fu<
摹	mue<
摹仿	mue fag
摹寫	mue sie
摹擬	mue ni
摹畫	mue hua
摹聲詞	mue xg ts
摺	jeh<
摺光	jeh cuag
摺奏	jeh zeu
摺子	jeh z
摺尺	jeh txh
摺椅	jeh i
摺紙	jeh j
摺線	jeh sian
摺裙	jeh kyn
摺轉	jeh juan
摻	da<
摻	tsam>
摻	txam/
摻	xam\
摻假	txam cia
摻和	txam hue
摻水	txam xui
摻沙子	txam xa z
摽	biau/
摽	biau>
摿	iau<
撂	liau>
撂倒	liau dau
撂地	liau di
撂地攤	liau di tan
撂挑子	liau tiau z
撃	ci/
撅	cyeh/
撅	han>
撅嘴	cyeh zui
撆	pieh/
撇	pie/
撇	pie\
撇下	pie hia
撇去	pie ky
撇嘴	pie zui
撇大條	pie da tiau
撇掉	pie diau
撇條	pie tiau
撇步	pie bu
撇清	pie tsig
撇號	pie hau
撇開	pie kai
撇開不談	pie kai bu tam
撈	lau/
撈	x/
撈一把	lau ih ba
撈什子	lau xh z
撈取	lau tsy
撈外快	lau guai kuai
撈本	lau bn
撈油水	lau iu xui
撈稻草	lau dau tsau
撈錢	lau tsian
撊	hian>
撋	ruan<
撌	cui>
撏	he<
撏	hiam<
撐	pie/
撐	txg/
撐傘	txg san
撐場面	txg txag mian
撐拒	txg cy
撐持	txg tx
撐杆	txg can
撐桿跳	txg can tiau
撐桿跳高	txg can tiau cau
撐死	txg s
撐破	txg pue
撐竿跳	txg can tiau
撐竿跳高	txg can tiau cau
撐腰	txg iau
撐船	txg txuan
撐門面	txg mn mian
撐開	txg kai
撒	sa/
撒	sa\
撒丁島	sa dig dau
撒丫子	sa ia z
撒但	sa dan
撒克遜	sa keh syn
撒克遜人	sa keh syn rn
撒切爾	sa tsie er
撒切爾夫人	sa tsie er fu rn
撒哈拉	sa hah lah
撒哈拉人	sa hah lah rn
撒哈拉以南	sa hah lah i nam
撒哈拉以南非洲	sa hah lah i nam fei jeu
撒哈拉威	sa hah lah ui
撒哈拉沙漠	sa hah lah xa mueh
撒囈掙	sa gi jg
撒嬌	sa ciau
撒嬌賣乖	sa ciau mai cuai
撒尿	sa niau
撒手	sa xeu
撒手不管	sa xeu bu cuan
撒手人寰	sa xeu rn huan
撒手鐧	sa xeu cian
撒手閉眼	sa xeu bi gian
撒拉	sa lah
撒拉族	sa lah zuh
撒拉語	sa lah gy
撒拉鐵	sa lah tieh
撒播	sa bue
撒旦	sa dan
撒村	sa tsun
撒母耳記上	sa mu er ci xag
撒母耳記下	sa mu er ci hia
撒氣	sa ki
撒潑	sa pue
撒然	sa ran
撒爾孟	sa er mg
撒狗糧	sa ceu liag
撒督	sa duh
撒科打諢	sa ke da hun
撒種	sa jug
撒網	sa uag
撒網捕風	sa uag bu fg
撒羅滿	sa lue man
撒腳	sa ciauh
撒腿	sa tui
撒西米	sa si mi
撒謊	sa huag
撒賴	sa lai
撒迦利亞	sa cia li ia
撒迦利亞書	sa cia li ia xu
撒都該人	sa du cai rn
撒酒瘋	sa ziu fg
撒野	sa ie
撒門	sa mn
撒馬利亞	sa ma li ia
撒馬爾干	sa ma er can
撒馬爾罕	sa ma er han
撓	nau<
撓敗	nau bai
撓曲	nau kyh
撓率	nau ly
撓癢癢	nau iag iag
撓裂	nau lieh
撓鉤	nau ceu
撓頭	nau teu
撕	s/
撕咬	s iau
撕扯	s txe
撕掉	s diau
撕毀	s hui
撕爛	s lan
撕破	s pue
撕破臉	s pue liam
撕破臉皮	s pue liam pi
撕碎	s sui
撕票	s piau
撕裂	s lieh
撕逼	s bih
撖	ham>
撗	cuag>
撙	zun\
撚	nian\
撜	hian/
撜	jg\
撝	han\
撝	hui/
撝挹	hui ih
撝損	hui sun
撞	juag>
撞倒	juag dau
撞傷	juag xag
撞大運	juag da yn
撞擊	juag cih
撞擊坑	juag cih kg
撞擊式印表機	juag cih xh in biau ci
撞擊式打印機	juag cih xh da in ci
撞機	juag ci
撞死	juag s
撞毀	juag hui
撞爛	juag lan
撞球	juag kiu
撞臉	juag liam
撞衫	juag xam
撞見	juag cian
撞車	juag txe
撞運氣	juag yn ki
撞針	juag jm
撞鎖	juag sue
撞騙	juag pian
撞鬼	juag cui
撟	ciau\
撟	pue>
撠	cih\
撡	tsau/
撢	dam\
撣	dan\
撣子	dan z
撣邦	xan bag
撣邦高原	xan bag cau gyan
撤	txeh>
撤下	txeh hia
撤併	txeh big
撤僑	txeh kiau
撤兵	txeh big
撤出	txeh txu
撤回	txeh hui
撤掉	txeh diau
撤換	txeh huan
撤款	txeh kuan
撤消	txeh siau
撤營	txeh ig
撤稿	txeh cau
撤職	txeh jh
撤訴	txeh su
撤走	txeh zeu
撤軍	txeh cyn
撤退	txeh tui
撤銷	txeh siau
撤除	txeh txu
撤離	txeh li
撥	bueh/
撥亂反正	bueh luan fan jg
撥付	bueh fu
撥冗	bueh rug
撥出	bueh txu
撥動	bueh dug
撥奏	bueh zeu
撥子	bueh z
撥弄	bueh nug
撥弦樂器	bueh hian ye ki
撥打	bueh da
撥接	bueh zieh
撥款	bueh kuan
撥正	bueh jg
撥浪鼓	bueh lag cu
撥火棍	bueh hue cun
撥片	bueh pian
撥用	bueh yg
撥空	bueh kug
撥號	bueh hau
撥號盤	bueh hau pan
撥號連接	bueh hau lian zieh
撥號音	bueh hau im
撥轉	bueh juan
撥通	bueh tug
撥開	bueh kai
撥雲見日	bueh yn cian rh
撦	la>
撦	txe\
撧	cye/
撩	liau/
撩	liau<
撩亂	liau luan
撩人	liau rn
撩動	liau dug
撩妹	liau mei
撩惹	liau re
撩撥	liau bueh
撩是生非	liau x xg fei
撩起	liau ki
撩逗	liau deu
撩開	liau kai
撩騷	liau sau
撫	fu\
撫卹	fu syh
撫州	fu jeu
撫州市	fu jeu x
撫平	fu pig
撫弄	fu nug
撫恤金	fu syh cim
撫愛	fu ai
撫慰	fu ui
撫慰金	fu ui cim
撫抱	fu bau
撫摩	fu mue
撫摸	fu mue
撫松	fu sug
撫松縣	fu sug hian
撫琴	fu kim
撫綏	fu sui
撫育	fu yh
撫遠三角洲	fu yan sam ciauh jeu
撫順	fu xun
撫順市	fu xun x
撫順縣	fu xun hian
撫養	fu iag
撫養成人	fu iag txg rn
撫養權	fu iag kyan
撫養費	fu iag fei
撬	kiau>
撬動	kiau dug
撬棍	kiau cun
撬棒	kiau bag
撬槓	kiau cag
撬竊	kiau tsieh
撬鎖	kiau sue
撬門	kiau mn
撬開	kiau kai
播	bue/
播出	bue txu
播報	bue bau
播報員	bue bau yan
播客	bue keh
播弄	bue nug
播撒	bue sa
播放	bue fag
播放列表	bue fag lie biau
播放機	bue fag ci
播映	bue ig
播發	bue fah
播種	bue jug
播講	bue ciag
播送	bue sug
播音	bue im
播音員	bue im yan
撮	tsueh/
撮	zueh\
撮合	tsueh heh
撰	juan>
撰	tai>
撰寫	juan sie
撰擬	juan ni
撰文	juan un
撰稿	juan cau
撰稿人	juan cau rn
撰述	juan xuh
撰錄	juan lu
撱	tue\
撲	puh/
撲倒	puh dau
撲克	puh keh
撲克牌	puh keh pai
撲扇	puh xan
撲打	puh da
撲救	puh ciu
撲朔	puh xueh
撲朔迷離	puh xueh mi li
撲棱	puh lg
撲殺	puh xa
撲滅	puh mieh
撲滿	puh man
撲熱息痛	puh reh sih tug
撲空	puh kug
撲臉兒	puh liam r
撲落	puh lueh
撲襲	puh sih
撲責	puh zeh
撲跌	puh dieh
撲通	puh tug
撲閃	puh xam
撲面	puh mian
撲面而來	puh mian er lai
撲騰	puh tg
撲鼻	puh bi
撳	kin>
撻	dian\
撻	tah>
撼	ham>
撼動	ham dug
撼天動地	ham tian dug di
撼樹蚍蜉	ham xu pi fu
撽	kiau>
撾	jua/
撾	ue/
撿	ciam\
撿了芝麻丟了西瓜	ciam le j ma diu le si cua
撿到籃裡就是菜	ciam dau lam li ziu x tsai
撿屍	ciam x
撿拾	ciam xh
撿漏	ciam leu
撿骨	ciam cuh
擀	can\
擀麵杖	can mian jag
擁	yg/
擁兵自重	yg big z jug
擁吻	yg un
擁堵	yg du
擁塞	yg se
擁戴	yg dai
擁抱	yg bau
擁擠	yg zi
擁擠不堪	yg zi bu kam
擁有	yg iu
擁有權	yg iu kyan
擁護	yg hu
擁護者	yg hu je
擁躉	yg dun
擂	lei<
擂	lei>
擂臺	lei tai
擂臺賽	lei tai sai
擂茶	lei txa
擂鼓鳴金	lei cu mig cim
擄	lu\
擄人勒贖	lu rn leh xuh
擄掠	lu lye
擄獲	lu hueh
擄走	lu zeu
擅	xan>
擅場	xan txag
擅斷	xan duan
擅權	xan kyan
擅美	xan mei
擅自	xan z
擅長	xan txag
擅闖	xan txuag
擅離職守	xan li jh xeu
擇	zeh<
擇不開	jaih bu kai
擇偶	zeh geu
擇刺	jaih ts
擇善固執	zeh xan cu jh
擇善而從	zeh xan er tsug
擇定	zeh dig
擇日	zeh rh
擇日不如撞日	zeh rh bu ru juag rh
擇日子	jaih rh z
擇機	zeh ci
擇菜	jaih tsai
擇食	zeh x
擉	txueh>
擊	cih/
擊中	cih jug
擊倒	cih dau
擊刺	cih ts
擊劍	cih cian
擊劍者	cih cian je
擊墜	cih jui
擊弦類	cih hian lei
擊弦類樂器	cih hian lei ye ki
擊打	cih da
擊掌	cih jag
擊敗	cih bai
擊斃	cih bi
擊暈	cih yn
擊殺	cih xa
擊毀	cih hui
擊沉	cih txm
擊潰	cih kui
擊球	cih kiu
擊球員	cih kiu yan
擊碎	cih sui
擊缶	cih fuu
擊落	cih lueh
擊退	cih tui
擊鼓傳花	cih cu txuan hua
擊鼓鳴金	cih cu mig cim
擋	dag>
擋	dag\
擋	uag>
擋位	dag ui
擋住	dag ju
擋拆	dag txai
擋泥板	dag ni ban
擋瑯	dag lag
擋箭牌	dag zian pai
擋路	dag lu
擋郎	dag lag
擋鋃	dag lag
擋雨	dag y
擋風牆	dag fg tsiag
擋風玻璃	dag fg bue li
擋駕	dag cia
操	tsau/
操	tsau>
操	txe\
操之過急	tsau j cue cih
操作	tsau zue
操作台	tsau zue tai
操作員	tsau zue yan
操作數	tsau zue xu
操作環境	tsau zue huan cig
操作符	tsau zue fu
操作系統	tsau zue hi tug
操作者	tsau zue je
操作規程	tsau zue cui txg
操你媽	tsau ni ma
操典	tsau dian
操刀	tsau dau
操刀手	tsau dau xeu
操切	tsau tsie
操勞	tsau lau
操坪	tsau pig
操場	tsau txag
操守	tsau xeu
操屄	tsau bi
操弄	tsau nug
操心	tsau sim
操持	tsau tx
操控	tsau kug
操斧伐柯	tsau fu fah ke
操法	tsau fah
操演	tsau ian
操盤	tsau pan
操盤手	tsau pan xeu
操神	tsau xn
操練	tsau lian
操縱	tsau zug
操縱桿	tsau zug can
操縱自如	tsau zug z ru
操舟	tsau jeu
操航	tsau hag
操舵	tsau due
操舵室	tsau due xh
操蛋	tsau dan
操行	tsau hig
操觚	tsau cu
操課	tsau ke
操辦	tsau ban
操逼	tsau bih
擎	kig<
擎	nai>
擎拳合掌	kig kyan heh jag
擏	kig<
擐	cye<
擐	huan>
擒	kim<
擒人節	kim rn zieh
擒獲	kim hueh
擒賊擒王	kim zeih kim uag
擓	kuai\
擔	dam/
擔	dam>
擔	er<
擔仔麵	dam zai mian
擔任	dam rm
擔保	dam bau
擔子	dam z
擔待	dam dai
擔心	dam sim
擔憂	dam iu
擔懮	dam iu
擔承	dam txg
擔擔麵	dam dam mian
擔擱	dam ce
擔架	dam cia
擔架兵	dam cia big
擔架床	dam cia txuag
擔架抬	dam cia tai
擔當	dam dag
擔綱	dam cag
擔荷	dam he
擔誤	dam gu
擔負	dam fu
擔驚受怕	dam cig xeu pa
擕	hie<
擖	ceh\
擖	kah/
擖	nyh>
擗	pih\
擘	bueh>
擘劃	bueh huah
擘畫	bueh hua
擘開	bueh kai
據	cy>
據估計	cy cu ci
據信	cy sin
據傳	cy txuan
據報	cy bau
據報導	cy bau dau
據報道	cy bau dau
據守	cy xeu
據守天險	cy xeu tian hiam
據實	cy xh
據實以告	cy xh i cau
據悉	cy sih
據情辦理	cy tsig ban li
據我所知	cy gue sue j
據我看	cy gue kan
據料	cy liau
據有	cy iu
據此	cy ts
據為己有	cy ui ci iu
據理	cy li
據理力爭	cy li lih jg
據稱	cy txg
據統計	cy tug ci
據聞	cy un
據說	cy xue
據險	cy hiam
據點	cy diam
擠	zi\
擠上去	zi xag ky
擠來擠去	zi lai zi ky
擠兌	zi dui
擠入	zi ruh
擠出	zi txu
擠占	zi jam
擠咕	zi cu
擠垮	zi kua
擠壓	zi iah
擠壓出	zi iah txu
擠奶	zi nai
擠對	zi dui
擠提	zi ti
擠擠插插	zi zi txah txah
擠滿	zi man
擠牙膏	zi gia cau
擠眉弄眼	zi mei nug gian
擠眼	zi gian
擠破頭	zi pue teu
擠緊	zi cin
擠花	zi hua
擠花袋	zi hua dai
擠落	zi lueh
擠踏	zi tah
擠軋	zi iah
擠進	zi zin
擠過	zi cue
擡	tai<
擢	jueh<
擢	nueh>
擢升	jueh xg
擢第	jueh di
擢髮難數	jueh fah nan xu
擣	dau\
擤	hig\
擤	lie>
擤鼻涕	hig bi ti
擥	lam\
擦	tsa/
擦乾	tsa can
擦亮	tsa liag
擦亮眼睛	tsa liag gian zig
擦傷	tsa xag
擦子	tsa z
擦寫	tsa sie
擦屁股	tsa pi cu
擦抹	tsa mueh
擦拭	tsa xh
擦掉	tsa diau
擦掠	tsa lye
擦撞	tsa juag
擦擦筆	tsa tsa bih
擦棒球	tsa bag kiu
擦槍走火	tsa tsiag zeu hue
擦油	tsa iu
擦洗	tsa si
擦澡	tsa zau
擦碗布	tsa uan bu
擦絲	tsa s
擦網球	tsa uag kiu
擦肩而過	tsa cian er cue
擦腚紙	tsa dig j
擦身而過	tsa xn er cue
擦邊	tsa bian
擦邊球	tsa bian kiu
擦除	tsa txu
擦鞋墊	tsa hie dian
擦音	tsa im
擦黑兒	tsa heih r
擧	cy\
擨	ie<
擩	ru\
擫	ie>
擬	ni\
擬	txg/
擬人	ni rn
擬作	ni zue
擬具	ni cy
擬制	ni j
擬古	ni cu
擬古之作	ni cu j zue
擬合	ni heh
擬大朱雀	ni da ju tsyeh
擬定	ni dig
擬態	ni tai
擬於不倫	ni y bu lun
擬游隼	ni iu sun
擬球	ni kiu
擬稿	ni cau
擬聲	ni xg
擬聲唱法	ni xg txag fah
擬聲詞	ni xg ts
擬製	ni j
擬訂	ni dig
擬議	ni gi
擬音	ni im
擬鹵素	ni lu su
擭	hue>
擭	ue>
擯	bin>
擯	cui/
擯斥	bin tx
擯棄	bin ki
擯除	bin txu
擰	kyan<
擰	nig<
擰	nig>
擰	nig\
擰巴	nig ba
擰成一股繩	nig txg ih cu xg
擰開	nig kai
擱	ce/
擱	ce<
擱	ce>
擱板	ce ban
擱淺	ce tsian
擱筆	ce bih
擱置	ce j
擱腳板	ce ciauh ban
擱腳物	ce ciauh uh
擲	jh>
擲地有聲	jh di iu xg
擲筊	jh ciau
擲色	jh xaih
擲還	jh huan
擲骰子	jh teu z
擴	kue>
擴	xau>
擴充	kue txug
擴列	kue lie
擴印	kue in
擴及	kue cih
擴增	kue zg
擴增實境	kue zg xh cig
擴大	kue da
擴大再生產	kue da zai xg txan
擴大化	kue da hua
擴孔	kue kug
擴容	kue rug
擴展	kue jan
擴展名	kue jan mig
擴展塢	kue jan u
擴展程序	kue jan txg sy
擴建	kue cian
擴張	kue jag
擴散	kue san
擴散周知	kue san jeu j
擴版	kue ban
擴編	kue bian
擴胸器	kue hyg ki
擴表	kue biau
擴軍	kue cyn
擴音	kue im
擴音器	kue im ki
擴音機	kue im ci
擷	hieh<
擷取	hieh tsy
擸	lieh>
擺	bai\
擺	jg/
擺了一道	bai le ih dau
擺事實講道理	bai x xh ciag dau li
擺出	bai txu
擺動	bai dug
擺地攤	bai di tan
擺子	bai z
擺布	bai bu
擺平	bai pig
擺弄	bai nug
擺手	bai xeu
擺拍	bai paih
擺攤	bai tan
擺攤子	bai tan z
擺放	bai fag
擺明	bai mig
擺晃	bai huag
擺架子	bai cia z
擺樣子	bai iag z
擺渡	bai du
擺渡車	bai du txe
擺滿	bai man
擺烏龍	bai u lug
擺爛	bai lan
擺盤	bai pan
擺線	bai sian
擺脫	bai tueh
擺脫危機	bai tueh gui ci
擺花架子	bai hua cia z
擺蕩	bai dag
擺設	bai xeh
擺設兒	bai xeh r
擺譜	bai pu
擺譜兒	bai pu r
擺賣	bai mai
擺輪	bai lun
擺造型	bai zau hig
擺鐘	bai jug
擺門面	bai mn mian
擺闊	bai kueh
擺飾	bai xh
擺龍門陣	bai lug mn jn
擻	i>
擻	seu>
擻	seu\
擼	lu/
擼管	lu cuan
擼鐵	lu tieh
擽	lyeh>
擽	uih/
擾	lun\
擾	rau\
擾亂	rau luan
擾動	rau dug
擾攘	rau rag
擾民	rau min
擾流板	rau liu ban
擿	jh>
擿	tih/
攀	pan/
攀供	pan cug
攀升	pan xg
攀害	pan hai
攀山家	pan xan cia
攀岩	pan ian
攀扯	pan txe
攀折	pan je
攀援	pan yan
攀枝花	pan j hua
攀枝花市	pan j hua x
攀比	pan bi
攀爬	pan pa
攀登	pan dg
攀緣	pan yan
攀親	pan tsin
攀親道故	pan tsin dau cu
攀誣	pan u
攀誣陷害	pan u hiam hai
攀談	pan tam
攀越	pan yeh
攀附	pan fu
攀附權貴	pan fu kyan cui
攀高結貴	pan cau cieh cui
攀龍附鳳	pan lug fu fg
攂	lei<
攃	sah>
攄	xg\
攄	xu/
攆	bi>
攆	nian\
攆出	nian txu
攆走	nian zeu
攇	hian\
攈	cyn>
攉	hueh/
攉	jug>
攉煤機	hueh mei ci
攋	lah>
攌	huan\
攌	ki<
攍	fu>
攍	ig<
攏	lug\
攏共	lug cug
攏攥	lug zuan
攏火	lug hue
攏總	lug zug
攐	kian/
攓	kian/
攓	li<
攔	lan<
攔	man<
攔住	lan ju
攔劫	lan cieh
攔截	lan cie
攔檢	lan ciam
攔櫃	lan cui
攔河壩	lan he ba
攔網	lan uag
攔腰	lan iau
攔路	lan lu
攔路虎	lan lu hu
攔車	lan txe
攔阻	lan zu
攕	siam/
攖	ig/
攖	lian<
攗	biau/
攗	mei<
攘	rag\
攘善	rag xan
攘場	rag txag
攘外	rag guai
攘外安內	rag guai an nei
攘夷	rag i
攘奪	rag dueh
攘攘	rag rag
攘災	rag zai
攘竊	rag tsieh
攘羊	rag iag
攘臂	rag bi
攘袂	rag mei
攘袖	rag siu
攘詬	rag ceu
攘辟	rag bih
攘除	rag txu
攙	txam/
攙假	txam cia
攙兌	txam dui
攙合	txam heh
攙和	txam hue
攙扶	txam fu
攙雜	txam zah
攛	tsuan/
攛	txuag<
攛掇	tsuan dueh
攜	hie<
攜	i>
攜家帶口	hie cia dai keu
攜家帶眷	hie cia dai cyan
攜帶	hie dai
攜帶者	hie dai je
攜手	hie xeu
攜手並肩	hie xeu big cian
攜手同行	hie xeu tug hig
攜款	hie kuan
攜眷	hie cyan
攜程	hie txg
攝	xeh>
攝像	xeh siag
攝像機	xeh siag ci
攝像頭	xeh siag teu
攝入	xeh ruh
攝入量	xeh ruh liag
攝取	xeh tsy
攝影	xeh ig
攝影家	xeh ig cia
攝影師	xeh ig x
攝影棚	xeh ig pg
攝影機	xeh ig ci
攝影術	xeh ig xuh
攝影記者	xeh ig ci je
攝政	xeh jg
攝政王	xeh jg uag
攝氏	xeh x
攝氏度	xeh x du
攝製	xeh j
攝護腺	xeh hu hian
攝護腺腫大	xeh hu hian jug da
攝錄	xeh lu
攝食	xeh x
攟	cyn>
攠	mi<
攠	pai>
攡	tx/
攢	tsuan<
攢	zan\
攢簇	tsuan tsuh
攢聚	tsuan zy
攢集	tsuan zih
攣	luan<
攣縮	luan sueh
攤	tan/
攤事兒	tan x r
攤位	tan ui
攤兒	tan r
攤售	tan xeu
攤商	tan xag
攤子	tan z
攤手	tan xeu
攤提	tan ti
攤擋	tan dag
攤曬	tan xai
攤檔	tan dag
攤派	tan pai
攤牌	tan pai
攤薄	tan bauh
攤薄後每股盈利	tan bueh heu mei cu ig li
攤販	tan fan
攤銷	tan siau
攤錢	tan tsian
攤開	tan kai
攤雞蛋	tan ci dan
攤頭	tan teu
攤黃菜	tan huag tsai
攤點	tan diam
攥	zuan>
攥拳頭	zuan kyan teu
攦	kuai>
攦	li>
攧	dian/
攩	biau/
攩	dag\
攪	ciau\
攪亂	ciau luan
攪動	ciau dug
攪和	ciau hue
攪基	ciau ci
攪局	ciau cyh
攪屎棍	ciau x cun
攪打	ciau da
攪拌	ciau ban
攪拌機	ciau ban ci
攪擾	ciau rau
攪混	ciau hun
攪珠機	ciau ju ci
攫	cyeh<
攫	txh>
攫取	cyeh tsy
攫奪	cyeh dueh
攬	ky<
攬	lam\
攬權	lam kyan
攬炒	lam txau
攬轡澄清	lam pei txg tsig
攭	li>
攭	mue>
攮	je<
攮	nag\
支	j/
支	xa>
支付	j fu
支付不起	j fu bu ki
支付寶	j fu bau
支付得起	j fu deh ki
支使	j x
支光	j cuag
支公司	j cug s
支出	j txu
支前	j tsian
支努干	j nu can
支原體	j gyan ti
支原體肺炎	j gyan ti fei iam
支取	j tsy
支吾	j gu
支吾其詞	j gu ki ts
支子	j z
支差	j txai
支店	j diam
支座	j zue
支恐	j kug
支應	j ig
支承	j txg
支承銷	j txg siau
支招	j jau
支持	j tx
支持度	j tx du
支持率	j tx ly
支持者	j tx je
支援	j yan
支撐	j txg
支撐架	j txg cia
支支吾吾	j j gu gu
支教	j ciau
支族	j zuh
支書	j xu
支架	j cia
支柱	j ju
支柱產業	j ju txan gieh
支根	j cn
支氣管	j ki cuan
支氣管炎	j ki cuan iam
支流	j liu
支票	j piau
支票簿	j piau bu
支系	j hi
支系統	j hi tug
支線	j sian
支與流裔	j y liu i
支行	j hag
支解	j cie
支走	j zeu
支邊	j bian
支那	j na
支部	j bu
支配	j pei
支配力	j pei lih
支配權	j pei kyan
支開	j kai
支隊	j dui
支離	j li
